x_site,y_site,n,slope,intercept,r2
22.1,13.1_33.2,38,0.8787246942187966,3.794822042980691,0.1566582187727989
23.1,13.1_33.2,107,0.9445645612132851,-0.06645089851115289,0.35173916660328136
24.1_1.2,13.1_33.2,96,0.6012585800762883,3.388772769268775,0.4051931318082498
27.1,13.1_33.2,22,0.877005263804819,2.0110774036442596,0.8510467546662298
28.1,13.1_33.2,125,0.4825869353554185,7.371775007704151,0.10822313512430444
29.1,13.1_33.2,50,0.2340880303765662,10.945219212419893,0.022355581457410033
30.1_17.1,13.1_33.2,22,0.8734384424841213,2.2015045953195647,0.8665854917783634
31.2,13.1_33.2,36,1.6556627555197625,0.960886079869595,0.4556176523072645
32.2,13.1_33.2,35,1.642944319365606,1.564831411250467,0.43683729009983846
34.1_16.1,13.1_33.2,25,1.2762150854346022,-0.030075377366429724,0.24468280903844397
35.2,13.1_33.2,33,1.846068026981201,3.193280961270662,0.39816417403876286
2.1,14.1,45,1.0337653671461338,0.984224127719496,0.9441542706034349
3.1,14.1,230,1.1287033647077707,0.8730183656389797,0.9019118842738216
5.1_19.3_24.2,14.1,138,1.1432146799367642,-0.7159669444098451,0.9190621084676787
7.2,14.1,72,0.8719394427029072,1.226134252589531,0.7904647028240799
8.1_34.2,14.1,37,1.2083425372068881,-1.1894678185420215,0.8638409916548777
9.1_17.2,14.1,224,0.9590744824443644,-0.39067030974794326,0.9221362357606577
9.2,14.1,55,1.3796589672992396,0.5025338857829936,0.9423341984631333
12.1_5.2,14.1,76,0.9760811872009569,0.47307834830046636,0.959838692061309
13.1_33.2,14.1,51,0.17394012493451871,10.552075068109112,0.15860954903746777
14.1,14.1,233,1,1.8619680931818106e-15,1
15.1,14.1,128,3.0312909958995204,-2.503385714619199,0.879463322456479
18.1_26.1,14.1,194,0.8488644810196686,0.5298419692773202,0.8577456818681242
20.2,14.1,62,1.2045121040060387,-0.22789609275319764,0.9442512278031839
21.1,14.1,198,1.078911739885966,-0.3991862165443415,0.9319717856895187
22.1,14.1,220,0.9030067189401801,0.4654712278698298,0.9299975830267115
