x_site,y_site,n,slope,intercept,r2,site1,site2,distance_km
14.1,9.2,55,0.6830196597843345,0.01837439151286998,0.9423341984631333,14.1,9.2,2.9760817682280143
15.1,9.2,53,2.114878260197173,-1.630186560057742,0.9492980392908204,15.1,9.2,7.865289126396493
18.1_26.1,9.2,55,0.6476966411348982,0.21143775658467762,0.9707459125983039,18.1_26.1,9.2,8.040254482080604
20.2,9.2,28,0.8522184375112298,0.20516532045214156,0.9740243166442019,20.2,9.2,1.6054376299196336
21.1,9.2,47,0.6865884066996668,0.10986182948192831,0.9594443853570721,21.1,9.2,3.8871922180469984
22.1,9.2,47,0.6746485872371883,0.26675168433040625,0.9395388467071035,22.1,9.2,8.508051859935575
28.1,9.2,55,4.155460718115856,-4.590490281877012,0.9175669760007441,28.1,9.2,5.610025915496071
29.1,9.2,54,0.6191616124765078,0.22030506367530447,0.9155813744985033,29.1,9.2,14.842081056668011
31.2,9.2,54,0.6567684921965463,0.10482885098872416,0.9267184092356925,31.2,9.2,4.796367538658089
32.2,9.2,46,0.6658802997148562,0.06285117052250934,0.952745535655735,32.2,9.2,5.010655195710874
34.1_16.1,9.2,33,0.693371903644529,0.014153441093619153,0.935567424949706,34.1_16.1,9.2,6.576525708795844
35.2,9.2,54,0.8518283539059395,0.21796278518814452,0.9755051236045953,35.2,9.2,6.032512041359892
23.1,11.1_32.1_18.2,10,0.8779351301352772,-0.18988536535672845,0.9424258283554319,11.1_32.1_18.2,23.1,12.510974953772399
24.1_1.2,11.1_32.1_18.2,10,0.977897876795564,0.513290472718283,0.9908766468771149,11.1_32.1_18.2,24.1_1.2,1.3364441036392198
13.1_33.2,12.1_5.2,66,0.6201208065093912,3.923900318584402,0.31528563067132265,12.1_5.2,13.1_33.2,0.5297132889477859
14.1,12.1_5.2,76,0.9833594834603614,0.07474388674529973,0.959838692061309,12.1_5.2,14.1,6.62441799687504
15.1,12.1_5.2,21,2.949663937622719,-3.0898679105271674,0.871067526211806,12.1_5.2,15.1,11.776373507677851
18.1_26.1,12.1_5.2,135,0.8148571921159805,1.3374209478826722,0.9503018415159384,12.1_5.2,18.1_26.1,3.9369269853940994
20.1,12.1_5.2,57,1.101955974616482,0.2858149075916106,0.8955709341438205,12.1_5.2,20.1,16.390335334127435
20.2,12.1_5.2,10,1.0466754458994931,0.7072845539457117,0.8168798901548789,12.1_5.2,20.2,5.6140526174924466
21.1,12.1_5.2,146,1.0538500145919618,-0.34677451983834695,0.9306397080818847,12.1_5.2,21.1,7.155082648669699
22.1,12.1_5.2,79,0.8869204470180004,1.223762773539076,0.9280570470270701,12.1_5.2,22.1,5.675288278693629
23.1,12.1_5.2,153,0.9622839940127358,0.15004150791978807,0.8081134741074079,12.1_5.2,23.1,13.124803017277621
24.1_1.2,12.1_5.2,154,1.1026213032129037,0.2533851556568459,0.9626641962059246,12.1_5.2,24.1_1.2,13.409182475487583
25.1,12.1_5.2,25,1.0929652587028256,0.6527199629383481,0.9580344871823651,12.1_5.2,25.1,7.293431229739726
27.1,12.1_5.2,34,1.1833740621469753,-0.7275003736036483,0.9720632669871911,12.1_5.2,27.1,3.7097686880871055
