site_x,site_y,n_overlap,slope,intercept,r2
22.1,19.2,58,0.906466908236624,2.7142245360167143,0.5815158720762093
24.1_1.2,18.1_26.1,285,1.1457184246546916,1.8142920055028315,0.5821741890574138
34.1_16.1,1.1,52,0.16297881283916568,0.5020631602219519,0.5838287245845146
20.2,12.1_5.2,40,0.8471759714516897,1.6857694660400373,0.5839175141561759
19.1,13.1_33.2,132,0.816497998168021,2.6718892859153853,0.5864335116472565
33.1,28.1,33,0.13759927711153233,1.5567955042382997,0.5878136025587957
18.1_26.1,8.1_34.2,345,0.5455939147795278,3.217598753794122,0.5893089677222403
33.1,19.2,32,0.960611174885169,3.5406052905957552,0.5896928498128224
22.1,20.1,16,0.4339512343003396,1.8568001814275994,0.5925610886720838
21.1,18.1_26.1,379,1.1189535373617718,0.9637089459398751,0.5934816934918407
7.1_4.1,5.1_19.3_24.2,162,0.5996276535847648,3.8032448117891917,0.5958206162036469
25.1,24.1_1.2,287,0.7381332512872176,1.9609563449052823,0.5975195561306118
21.1,7.1_4.1,409,0.9742140534065351,1.2349819843924275,0.5982961789743843
20.2,14.1,89,1.1717230051830465,1.1595731907613087,0.5984278753845997
25.1,7.1_4.1,373,0.9149312105840985,1.871748483832159,0.6013827970635843
19.2,9.1_17.2,58,0.5385152978847183,5.642720552318235,0.6017665195066567
20.2,5.1_19.3_24.2,37,0.9058853826157444,2.463946319422031,0.6033174585400245
7.1_4.1,2.1,391,0.6761321639074436,2.3946057730633825,0.6053720952704518
18.1_26.1,2.1,357,0.5919543382877241,2.494069542425992,0.6058721294873463
25.1,15.1,373,0.7565520342549614,-0.056022261569086095,0.6081345104011094
23.1,15.1,402,0.5999344574686244,0.7938562083262521,0.6082432853180059
34.1_16.1,15.1,210,0.4989668282770013,-0.08938521507664422,0.6103372118971573
24.1_1.2,20.2,20,0.5663170279790105,2.0020462707642683,0.610338518378411
24.1_1.2,19.2,49,1.3043897964494935,1.037830856307568,0.6120178793089648
9.2,7.1_4.1,71,1.8181092479143988,-0.901269474774774,0.6123778380958437
23.1,19.1,160,0.6634688216973378,2.720139178393089,0.6131777600720569
30.1_17.1,21.1,134,0.6045556929824228,3.1783923510085956,0.6132032250753368
23.1,20.1,141,0.5014303518172091,3.3903316159863413,0.6170319220967438
20.1,13.1_33.2,119,1.0171897320960477,1.759982930249977,0.6191365570569521
30.1_17.1,19.1,109,0.8458927518575067,1.7376657461007181,0.6211703776643139
25.1,3.1,383,0.7236825150251853,1.5511226291165627,0.6224701558639322
20.2,15.1,89,0.37611862837035137,1.3262652101271413,0.6229004329298331
33.1,2.1,77,0.7685844024991327,2.398055872485159,0.6263526576417556
32.2,7.1_4.1,65,1.2869528931508434,-1.531228424335072,0.6283745498921106
12.1_5.2,7.1_4.1,313,0.7694759206507608,2.400430228111978,0.6310096448602578
27.1,13.1_33.2,130,0.7482387364017908,3.7983957704476747,0.6320442000995581
19.2,2.1,55,0.5629227749300673,4.0878283299452916,0.6337096836877392
20.1,7.1_4.1,143,1.1965197591611372,-0.07804854968233713,0.6352266257302839
35.2,7.1_4.1,73,1.558196771377487,-0.43319113985310903,0.6355809643914688
20.1,14.1,12,1.5954658159623298,-0.8123469140285334,0.636428494209839
29.1,7.1_4.1,227,0.8840314759641099,1.2837409454673492,0.6371203279706454
29.1,19.2,58,1.131158380119687,0.4165572726352747,0.6380172845479273
19.2,3.1,58,0.47307644788757824,3.2432979698306412,0.6383173110219095
25.1,7.2,84,1.3301006516775697,-0.9343761557324524,0.642581520450709
25.1,21.1,382,0.8158374001287669,2.036841528449084,0.6439151751927962
7.2,2.1,84,0.60211524575117,1.8229264924062059,0.6446138133766874
7.2,5.1_19.3_24.2,39,0.5737083432403204,2.770642466637937,0.6462476143279189
29.1,15.1,237,0.610391035689015,-0.5854144780117563,0.6462547103852476
23.1,7.1_4.1,402,0.8622845220115618,1.3101132996242553,0.6486216948199611
19.2,8.1_34.2,58,0.511828622857181,4.469639126582999,0.6526281199258537
34.1_16.1,23.1,202,0.6345024900940726,3.3162747576163714,0.6545747625727293
29.1,20.2,89,0.5491004022858902,1.3665694063688565,0.654821963945479
7.2,3.1,84,0.5551630997246292,1.7642788427997147,0.6567354041245332
19.1,11.1_32.1_18.2,116,0.5076338143454037,2.570206051695517,0.6570915617715093
