Sensor ID,Site ID,Lat,Long,Date,Time,PM2.5,removal_reason
27.1,27.1,41.50541,-81.66791,2025-08-26,03:30:00,13.853,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,04:00:00,21.251,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,04:30:00,16.311,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,05:00:00,84.501,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,05:30:00,176.698,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,06:00:00,4.435,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,06:30:00,10.071,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,07:00:00,0.597,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,07:30:00,5.084,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,08:00:00,1.141,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,08:30:00,0.564,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,09:00:00,4.085,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,09:30:00,1.296,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,10:00:00,6.011,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,10:30:00,3.772,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,11:00:00,5.673,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,12:00:00,5.229,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,12:30:00,15.333,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,13:00:00,1.051,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,13:30:00,0.966,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,14:00:00,4.411,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,14:30:00,4.411,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,15:00:00,3.096,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,15:30:00,0.933,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,16:00:00,0.616,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,16:30:00,6.723,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,17:00:00,1.649,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,17:30:00,4.647,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,18:00:00,0.668,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,18:30:00,0.805,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,19:00:00,2.174,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,19:30:00,1.304,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,20:00:00,0.839,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,20:30:00,1.3,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,21:00:00,2.218,Trim 27.1 from 2025-07-01 onward
