location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T15:34:02Z,mc_pm2_5,1.765
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T16:04:02Z,mc_pm2_5,2.203
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T16:34:02Z,mc_pm2_5,3.282
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T17:04:02Z,mc_pm2_5,3.19
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T17:34:02Z,mc_pm2_5,1.748
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T18:04:02Z,mc_pm2_5,4.185
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T18:34:02Z,mc_pm2_5,1.749
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T19:04:02Z,mc_pm2_5,1.256
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T19:34:02Z,mc_pm2_5,1.733
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T20:04:02Z,mc_pm2_5,1
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T20:34:02Z,mc_pm2_5,2.1
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T21:04:02Z,mc_pm2_5,1.786
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T21:34:02Z,mc_pm2_5,1.121
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T22:04:02Z,mc_pm2_5,2.059
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T22:34:02Z,mc_pm2_5,1.331
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T23:04:02Z,mc_pm2_5,1.957
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T23:34:02Z,mc_pm2_5,1.325
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T00:04:02Z,mc_pm2_5,2.55
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T00:34:02Z,mc_pm2_5,1.171
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T01:04:02Z,mc_pm2_5,2.069
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T01:34:02Z,mc_pm2_5,0.636
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T02:04:01Z,mc_pm2_5,1.245
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T02:34:01Z,mc_pm2_5,0.595
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T03:04:01Z,mc_pm2_5,0.829
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T03:34:01Z,mc_pm2_5,1.17
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T04:04:01Z,mc_pm2_5,1.064
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T04:34:01Z,mc_pm2_5,0.985
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T05:04:01Z,mc_pm2_5,0.575
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T05:34:01Z,mc_pm2_5,0.674
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T06:04:01Z,mc_pm2_5,2.066
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T06:34:01Z,mc_pm2_5,1
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T07:04:01Z,mc_pm2_5,1.181
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T07:34:01Z,mc_pm2_5,1.039
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T08:04:01Z,mc_pm2_5,1.85
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T08:34:01Z,mc_pm2_5,2.82
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T09:04:01Z,mc_pm2_5,0.907
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T09:34:01Z,mc_pm2_5,4.379
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T10:04:01Z,mc_pm2_5,0.676
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-14T10:34:01Z,mc_pm2_5,0.971
