sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-16T23:30:00Z,687.745,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T00:30:00Z,1011.87,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T03:00:00Z,1197.442,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T03:30:00Z,721.867,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T11:00:00Z,478.217,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T14:00:00Z,576.311,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T17:30:00Z,2297.31,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T21:30:00Z,2416.049,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-17T23:30:00Z,504.629,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-19T12:00:00Z,347.23,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-23T21:00:00Z,321.169,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-23T21:30:00Z,284.774,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-25T05:00:00Z,1090.835,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-25T07:30:00Z,362.284,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-26T16:30:00Z,514.894,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-27T18:00:00Z,400.903,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-27T22:00:00Z,947.476,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-28T06:00:00Z,4712.617,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-28T06:30:00Z,6824.529,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-28T07:30:00Z,4579.652,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-28T20:00:00Z,956.13,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-28T23:30:00Z,879.25,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-29T00:00:00Z,1188.925,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-29T11:00:00Z,1234.413,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-29T13:30:00Z,472.281,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-11-25T21:00:00Z,506.01,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-11-26T08:00:00Z,568.78,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-10T05:30:00Z,414.284,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-10T07:30:00Z,273.484,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-10T09:00:00Z,254.657,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-19T04:00:00Z,719.116,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-22T22:00:00Z,269.494,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-26T19:00:00Z,564.805,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T02:30:00Z,291.889,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T16:00:00Z,430.012,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T17:00:00Z,333.49,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T20:30:00Z,252.089,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T21:00:00Z,417.419,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T21:30:00Z,268.935,PM2.5 > 250
33.2,13.1_33.2,41.489571,-81.71175,2025-12-28T22:00:00Z,534.173,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T03:00:00Z,294.239,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T16:00:00Z,495.961,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T16:30:00Z,1159.71,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T17:00:00Z,329.431,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T17:30:00Z,374.368,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T18:00:00Z,957.547,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T18:30:00Z,1138.143,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T19:00:00Z,1773.672,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T19:30:00Z,1598.412,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T20:00:00Z,1626.31,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T20:30:00Z,1389.791,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T21:00:00Z,1504.778,PM2.5 > 250
