site1,site2,lat1,lon1,lat2,lon2,distance_km
8.1_34.2,11.1_32.1_18.2,41.446336,-81.650709,41.56206,-81.564009,14.771545522102244
9.1_17.2,11.1_32.1_18.2,41.49211735298013,-81.67856,41.56206,-81.564009,12.31897826935549
9.2,11.1_32.1_18.2,41.50604,-81.66306,41.56206,-81.564009,10.34483186140293
11.1_32.1_18.2,11.1_32.1_18.2,41.56206,-81.564009,41.56206,-81.564009,0
12.1_5.2,11.1_32.1_18.2,41.49409,-81.70976,41.56206,-81.564009,14.310385696489837
13.1_33.2,11.1_32.1_18.2,41.489571,-81.71175,41.56206,-81.564009,14.721400571005763
14.1,11.1_32.1_18.2,41.49537,-81.63033,41.56206,-81.564009,9.255346487517896
15.1,11.1_32.1_18.2,41.552492,-81.591944,41.56206,-81.564009,2.5591515478778164
18.1_26.1,11.1_32.1_18.2,41.47918,-81.75257,41.56206,-81.564009,18.22397192093721
19.1,11.1_32.1_18.2,41.462862,-81.647249,41.56206,-81.564009,13.041686627412279
19.2,11.1_32.1_18.2,41.46491,-81.59068,41.56206,-81.564009,11.04083552630516
20.1,11.1_32.1_18.2,41.569957,-81.541194,41.56206,-81.564009,2.093716322722494
20.2,11.1_32.1_18.2,41.50459,-81.6439,41.56206,-81.564009,9.233024461235692
21.1,11.1_32.1_18.2,41.486323,-81.624582,41.56206,-81.564009,9.826852649661136
