site_id,date_daily,cinc_pm25_daily,n_halfhour_obs,first_time,last_time,valid_daily
2.1,2024-12-23,5.527358974358974,39,2024-12-23T00:30:00Z,2024-12-23T23:00:00Z,TRUE
2.1,2024-12-24,24.744633333333333,30,2024-12-24T01:00:00Z,2024-12-25T00:00:00Z,FALSE
2.1,2024-12-25,23.399,27,2024-12-25T00:30:00Z,2024-12-26T00:00:00Z,FALSE
2.1,2024-12-26,12.157387096774194,31,2024-12-26T00:30:00Z,2024-12-27T00:00:00Z,FALSE
2.1,2024-12-27,11.377466666666667,30,2024-12-27T01:00:00Z,2024-12-27T22:30:00Z,FALSE
2.1,2024-12-28,5.128605263157895,38,2024-12-28T00:30:00Z,2024-12-29T00:00:00Z,TRUE
2.1,2024-12-29,13.945171428571427,35,2024-12-29T00:30:00Z,2024-12-29T23:00:00Z,FALSE
2.1,2024-12-30,2.88909375,32,2024-12-30T00:30:00Z,2024-12-30T23:00:00Z,FALSE
2.1,2024-12-31,9.391184210526315,38,2024-12-31T00:30:00Z,2025-01-01T00:00:00Z,TRUE
2.1,2025-01-01,8.93854054054054,37,2025-01-01T00:30:00Z,2025-01-02T00:00:00Z,TRUE
2.1,2025-01-02,9.156285714285714,42,2025-01-02T00:30:00Z,2025-01-03T00:00:00Z,TRUE
2.1,2025-01-03,10.942022727272727,44,2025-01-03T00:30:00Z,2025-01-04T00:00:00Z,TRUE
2.1,2025-01-04,2.1241333333333334,45,2025-01-04T00:30:00Z,2025-01-05T00:00:00Z,TRUE
2.1,2025-01-05,8.08151219512195,41,2025-01-05T00:30:00Z,2025-01-06T00:00:00Z,TRUE
2.1,2025-01-06,7.86995,40,2025-01-06T00:30:00Z,2025-01-06T23:30:00Z,TRUE
2.1,2025-01-07,1.688264705882353,34,2025-01-07T00:30:00Z,2025-01-08T00:00:00Z,FALSE
2.1,2025-01-08,1.620638888888889,36,2025-01-08T00:30:00Z,2025-01-09T00:00:00Z,TRUE
2.1,2025-01-09,1.978825,40,2025-01-09T00:30:00Z,2025-01-09T23:30:00Z,TRUE
2.1,2025-01-10,11.805763157894738,38,2025-01-10T00:30:00Z,2025-01-11T00:00:00Z,TRUE
2.1,2025-01-11,30.417292682926828,41,2025-01-11T00:30:00Z,2025-01-12T00:00:00Z,TRUE
2.1,2025-01-12,23.253474999999998,40,2025-01-12T01:00:00Z,2025-01-13T00:00:00Z,TRUE
2.1,2025-01-13,7.3431999999999995,40,2025-01-13T00:30:00Z,2025-01-14T00:00:00Z,TRUE
2.1,2025-01-14,5.9674249999999995,40,2025-01-14T00:30:00Z,2025-01-15T00:00:00Z,TRUE
2.1,2025-01-15,6.799767441860465,43,2025-01-15T00:30:00Z,2025-01-15T23:30:00Z,TRUE
2.1,2025-01-16,19.52007894736842,38,2025-01-16T01:00:00Z,2025-01-16T23:30:00Z,TRUE
2.1,2025-01-17,23.91810256410256,39,2025-01-17T01:00:00Z,2025-01-18T00:00:00Z,TRUE
2.1,2025-01-18,6.80840625,32,2025-01-18T01:30:00Z,2025-01-18T23:30:00Z,FALSE
2.1,2025-01-19,1.9322307692307692,39,2025-01-19T00:30:00Z,2025-01-19T23:30:00Z,TRUE
2.1,2025-01-20,3.2432162162162164,37,2025-01-20T00:30:00Z,2025-01-20T23:00:00Z,TRUE
2.1,2025-01-21,3.651918918918919,37,2025-01-21T01:00:00Z,2025-01-22T00:00:00Z,TRUE
2.1,2025-01-22,3.9169302325581397,43,2025-01-22T00:30:00Z,2025-01-23T00:00:00Z,TRUE
2.1,2025-01-23,8.518536585365853,41,2025-01-23T00:30:00Z,2025-01-24T00:00:00Z,TRUE
2.1,2025-01-24,5.077177777777778,45,2025-01-24T00:30:00Z,2025-01-25T00:00:00Z,TRUE
2.1,2025-01-25,11.627217391304347,46,2025-01-25T00:30:00Z,2025-01-26T00:00:00Z,TRUE
2.1,2025-01-26,7.43485,40,2025-01-26T01:30:00Z,2025-01-27T00:00:00Z,TRUE
2.1,2025-01-27,5.3818,40,2025-01-27T00:30:00Z,2025-01-28T00:00:00Z,TRUE
2.1,2025-01-28,3.709657142857143,35,2025-01-28T00:30:00Z,2025-01-29T00:00:00Z,FALSE
2.1,2025-01-29,3.330064516129032,31,2025-01-29T00:30:00Z,2025-01-30T00:00:00Z,FALSE
2.1,2025-01-30,5.781090909090909,33,2025-01-30T00:30:00Z,2025-01-31T00:00:00Z,FALSE
2.1,2025-01-31,10.639558823529411,34,2025-01-31T01:00:00Z,2025-01-31T23:30:00Z,FALSE
2.1,2025-02-01,12.949955555555558,45,2025-02-01T00:30:00Z,2025-02-02T00:00:00Z,TRUE
2.1,2025-02-02,6.1370000000000005,36,2025-02-02T00:30:00Z,2025-02-02T22:30:00Z,TRUE
2.1,2025-02-03,33.70593103448276,29,2025-02-03T01:00:00Z,2025-02-03T23:30:00Z,FALSE
2.1,2025-02-04,16.994,36,2025-02-04T00:30:00Z,2025-02-05T00:00:00Z,TRUE
2.1,2025-02-05,2.6907954545454547,44,2025-02-05T00:30:00Z,2025-02-06T00:00:00Z,TRUE
2.1,2025-02-06,15.96155882352941,34,2025-02-06T00:30:00Z,2025-02-07T00:00:00Z,FALSE
2.1,2025-02-07,4.726088235294117,34,2025-02-07T01:00:00Z,2025-02-07T23:30:00Z,FALSE
2.1,2025-02-08,11.777878787878787,33,2025-02-08T00:30:00Z,2025-02-09T00:00:00Z,FALSE
2.1,2025-02-09,15.771621621621621,37,2025-02-09T00:30:00Z,2025-02-10T00:00:00Z,TRUE
2.1,2025-02-10,8.671595238095238,42,2025-02-10T00:30:00Z,2025-02-11T00:00:00Z,TRUE
2.1,2025-02-11,18.002205882352943,34,2025-02-11T00:30:00Z,2025-02-12T00:00:00Z,FALSE
2.1,2025-02-12,24.417470588235293,34,2025-02-12T01:00:00Z,2025-02-13T00:00:00Z,FALSE
2.1,2025-02-13,18.588380952380955,42,2025-02-13T00:30:00Z,2025-02-14T00:00:00Z,TRUE
