device_eui,location_name,device_number,device_status,latitude,longitude,datetime_utc,pm25,temperature_c,humidity,sensor_id,site_id
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T07:30:00Z,15.927,25.1,70,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T09:00:00Z,16.052,25.1,70,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T10:00:00Z,20.98,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T10:30:00Z,21.943,24.9,72,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T11:00:00Z,18.609,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T11:30:00Z,15.513,27,66,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T12:00:00Z,24.889,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T18:00:00Z,9.995,32.3,52,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T19:30:00Z,16.138,31.9,52,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T02:30:00Z,16.102,28.1,71,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T03:30:00Z,15.69,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T08:00:00Z,12.961,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T18:30:00Z,12.03,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T19:30:00Z,5.909,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T21:00:00Z,11.213,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-13T23:00:00Z,10.303,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-14T00:30:00Z,11.83,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-14T02:00:00Z,7.341,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-14T18:30:00Z,8.138,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-14T22:30:00Z,21.16,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-15T06:30:00Z,34.602,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-15T10:00:00Z,28.089,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-15T15:00:00Z,23.224,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-15T21:00:00Z,21.168,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T02:00:00Z,20.079,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T04:00:00Z,22.921,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T15:30:00Z,13.518,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T16:30:00Z,15.252,31.6,50,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T19:00:00Z,16.181,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T19:30:00Z,21.726,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T21:00:00Z,14.277,-32,44,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T22:00:00Z,16.717,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-16T23:30:00Z,14.01,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T00:00:00Z,20.697,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T00:30:00Z,12.242,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T05:00:00Z,23.496,25.6,75,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T06:30:00Z,27.2,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T07:30:00Z,17.77,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T12:00:00Z,11.6,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T12:30:00Z,10.771,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T15:00:00Z,7.076,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T18:30:00Z,10.728,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T19:00:00Z,12.087,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T19:30:00Z,13.488,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-17T20:00:00Z,6.62,29.8,61,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T03:30:00Z,3.005,22.8,79,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T04:00:00Z,3.459,22.8,76,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T06:00:00Z,9.013,22.2,78,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T07:00:00Z,7.983,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T08:30:00Z,2.769,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T11:00:00Z,1.977,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T12:30:00Z,2.285,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T14:00:00Z,4.762,25.2,54,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T15:30:00Z,1.528,27.4,48,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T17:00:00Z,2.254,26.9,48,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T17:30:00Z,1.095,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T19:00:00Z,1.327,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T21:00:00Z,2.358,25.6,42,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T22:30:00Z,2.014,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T23:00:00Z,0.854,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-18T23:30:00Z,0.745,NA,NA,4.1,7.1_4.1
